Country,Project,Expedition,Location,Date,SiteID,First Observer.x,Second Observer.x,meta_to_deployment_id,First Observer.y,Second Observer.y,Site,Transect,Depth Start,Depth End,Time Start,Time End,Latitude,Longitude,Photos,Logger,Description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,A1_height,A1_width,A1_length,A2_height,A2_width,A2_length,A3_height,A3_width,A3_length,K1_height,K1_width,K1_length,K2_height,K2_width,K2_length,K3_height,K3_width,K3_length,Notes,Letter,Observer,Species,Amount,Length,Object,Confidence,Artificial_No,Dolphin crossing!
Israel,FunDiversity,Eilat Transects October 2020,Migdalor,2020-10-14 00:00:00,1,Mai Lazarus,Rei Diga,Mai Lazarus and Rei Diga - 1,Mai Lazarus,Rei Diga,1,A,17.8,18.6,10:00,10:09,29.499194,34.9155,yes,yes,"Slopy bottom, sand and seagrass patches, few small rocks and corals. Deeper, seagrass is more abundant",SG,SG,SG,SG,SG,SG,S,S,SG,SG,SG,SG,S,S,SG,SG,SG,S,S,S,S,S,S,S,S,,,,,,,,,,0.65,1.5,1,,,,,,,,T,first,Parupeneus macronema,1,5,,,,
Israel,FunDiversity,Eilat Transects October 2020,Migdalor,2020-10-14 00:00:00,1,Mai Lazarus,Rei Diga,Mai Lazarus and Rei Diga - 1,Mai Lazarus,Rei Diga,1,A,17.8,18.6,10:00,10:09,29.499194,34.9155,yes,yes,"Slopy bottom, sand and seagrass patches, few small rocks and corals. Deeper, seagrass is more abundant",SG,SG,SG,SG,SG,SG,S,S,SG,SG,SG,SG,S,S,SG,SG,SG,S,S,S,S,S,S,S,S,,,,,,,,,,0.65,1.5,1,,,,,,,,T,first,Parupeneus macronema,2,7,,,,
Israel,FunDiversity,Eilat Transects October 2020,Migdalor,2020-10-14 00:00:00,1,Mai Lazarus,Rei Diga,Mai Lazarus and Rei Diga - 1,Mai Lazarus,Rei Diga,1,A,17.8,18.6,10:00,10:09,29.499194,34.9155,yes,yes,"Slopy bottom, sand and seagrass patches, few small rocks and corals. Deeper, seagrass is more abundant",SG,SG,SG,SG,SG,SG,S,S,SG,SG,SG,SG,S,S,SG,SG,SG,S,S,S,S,S,S,S,S,,,,,,,,,,0.65,1.5,1,,,,,,,,T,first,Parupeneus macronema,1,6,,,,
Israel,FunDiversity,Eilat Transects October 2020,Migdalor,2020-10-14 00:00:00,1,Mai Lazarus,Rei Diga,Mai Lazarus and Rei Diga - 1,Mai Lazarus,Rei Diga,1,A,17.8,18.6,10:00,10:09,29.499194,34.9155,yes,yes,"Slopy bottom, sand and seagrass patches, few small rocks and corals. Deeper, seagrass is more abundant",SG,SG,SG,SG,SG,SG,S,S,SG,SG,SG,SG,S,S,SG,SG,SG,S,S,S,S,S,S,S,S,,,,,,,,,,0.65,1.5,1,,,,,,,,T,first,Paracheilinus octotaenia,50,3,,,,
Israel,FunDiversity,Eilat Transects October 2020,Migdalor,2020-10-14 00:00:00,1,Mai Lazarus,Rei Diga,Mai Lazarus and Rei Diga - 1,Mai Lazarus,Rei Diga,1,A,17.8,18.6,10:00,10:09,29.499194,34.9155,yes,yes,"Slopy bottom, sand and seagrass patches, few small rocks and corals. Deeper, seagrass is more abundant",SG,SG,SG,SG,SG,SG,S,S,SG,SG,SG,SG,S,S,SG,SG,SG,S,S,S,S,S,S,S,S,,,,,,,,,,0.65,1.5,1,,,,,,,,T,first,Paracheilinus octotaenia,12,3,,,,
Israel,FunDiversity,Eilat Transects October 2020,Migdalor,2020-10-14 00:00:00,1,Mai Lazarus,Rei Diga,Mai Lazarus and Rei Diga - 1,Mai Lazarus,Rei Diga,1,A,17.8,18.6,10:00,10:09,29.499194,34.9155,yes,yes,"Slopy bottom, sand and seagrass patches, few small rocks and corals. Deeper, seagrass is more abundant",SG,SG,SG,SG,SG,SG,S,S,SG,SG,SG,SG,S,S,SG,SG,SG,S,S,S,S,S,S,S,S,,,,,,,,,,0.65,1.5,1,,,,,,,,T,first,Pseudocheilinus evanidus,1,7,,,,
Israel,FunDiversity,Eilat Transects October 2020,Migdalor,2020-10-14 00:00:00,1,Mai Lazarus,Rei Diga,Mai Lazarus and Rei Diga - 1,Mai Lazarus,Rei Diga,1,A,17.8,18.6,10:00,10:09,29.499194,34.9155,yes,yes,"Slopy bottom, sand and seagrass patches, few small rocks and corals. Deeper, seagrass is more abundant",SG,SG,SG,SG,SG,SG,S,S,SG,SG,SG,SG,S,S,SG,SG,SG,S,S,S,S,S,S,S,S,,,,,,,,,,0.65,1.5,1,,,,,,,,T,first,Lethrinus nebulosus,1,45,,1,,
Israel,FunDiversity,Eilat Transects October 2020,Migdalor,2020-10-14 00:00:00,1,Mai Lazarus,Rei Diga,Mai Lazarus and Rei Diga - 1,Mai Lazarus,Rei Diga,1,A,17.8,18.6,10:00,10:09,29.499194,34.9155,yes,yes,"Slopy bottom, sand and seagrass patches, few small rocks and corals. Deeper, seagrass is more abundant",SG,SG,SG,SG,SG,SG,S,S,SG,SG,SG,SG,S,S,SG,SG,SG,S,S,S,S,S,S,S,S,,,,,,,,,,0.65,1.5,1,,,,,,,,T,first,Sufflamen albicaudatus,1,20,,,,
Israel,FunDiversity,Eilat Transects October 2020,Migdalor,2020-10-14 00:00:00,1,Mai Lazarus,Rei Diga,Mai Lazarus and Rei Diga - 1,Mai Lazarus,Rei Diga,1,A,17.8,18.6,10:00,10:09,29.499194,34.9155,yes,yes,"Slopy bottom, sand and seagrass patches, few small rocks and corals. Deeper, seagrass is more abundant",SG,SG,SG,SG,SG,SG,S,S,SG,SG,SG,SG,S,S,SG,SG,SG,S,S,S,S,S,S,S,S,,,,,,,,,,0.65,1.5,1,,,,,,,,T,first,Caesio suevicus,10,20,,,,
Israel,FunDiversity,Eilat Transects October 2020,Migdalor,2020-10-14 00:00:00,1,Mai Lazarus,Rei Diga,Mai Lazarus and Rei Diga - 1,Mai Lazarus,Rei Diga,1,A,17.8,18.6,10:00,10:09,29.499194,34.9155,yes,yes,"Slopy bottom, sand and seagrass patches, few small rocks and corals. Deeper, seagrass is more abundant",SG,SG,SG,SG,SG,SG,S,S,SG,SG,SG,SG,S,S,SG,SG,SG,S,S,S,S,S,S,S,S,,,,,,,,,,0.65,1.5,1,,,,,,,,T,first,Oxycheilinus digramma,1,4,,1,,
